id,year_1968,year_2016
1,13.2,17.1
2,2.84,5
3,13.42,15.7
4,13.04,15.8
5,18.08,15.2
6,11.5,7.3
7,6.16,9.4
8,5.58,12.9
9,23.18,21.5
10,16.78,17.5
11,21.94,21.1
12,3.78,6.9
13,3.2,11
14,10.3,10.9
15,8.08,8.8
16,9.64,12.4
17,5.58,5.1
18,18.14,19.1
19,4.04,5
20,10.62,12.3
21,7,8.8
22,9.3,6.9
23,4.94,5.1
24,17.01,17.4
25,12.44,12.5
26,3.86,5.9
27,8.58,9.3
28,7.23,9.9
29,9,6.6
30,10,11.5
31,7.94,11.9
32,4.64,7.4
33,18.44,15
34,-0.22,4.7
35,15.2,10.4
36,13.86,15.3
37,7.66,9.1
38,10.26,9.3
39,12.74,10.1
40,13.84,16.9
41,6.7,7.3
42,12.76,14.2
43,16.76,18.2
44,8.96,9.2
45,5.14,6.1
46,10.88,12.8
47,9.22,9.1
48,9.44,11
49,3.08,6.2
50,2.65,5.6
